STT,Ma CK,Ma ISIN,Ma FIGI,Ten cong ty,Ngay thong bao,Hieu luc tu ngay,Ly do
1,AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,12/05/2023,15/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
2,GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,12/05/2023,15/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
3,HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,12/05/2023,15/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
4,TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,12/05/2023,15/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
5,ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
6,AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
7,HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
8,HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
9,LDG,VN000000LDG2,BBG009RRQXY3,Công ty Cổ phần Đầu tư LDG,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
10,TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,12/05/2023,12/05/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.
