ticker,isin_code,figi_code,company_name,notification_date,effective_date,reason,alert_code,alert_language,etldatetime
TDH,VN000000TDH3,BBG000QGMH85,Công ty Cổ phần Phát triển Nhà Thủ Đức,10/21/2021,10/21/2021,Công ty tiếp tục vi phạm các quy định về công bố thông tin trên thị trường chứng khoán sau khi đã bị đưa vào diện cảnh báo do vi phạm công bố thông tin.,SD,VN,2023-06-01 09:20:39
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,05/25/2023,05/25/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
IBC,VN000000IBC1,BBG00F0Z7590,Công ty Cổ phần Đầu tư Apax Holdings,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
TVB,VN000000TVB8,BBG009DCDKK8,Công ty Cổ phần Chứng khoán Trí Việt,05/23/2023,05/23/2023,Tổ chức niêm yết chậm nộp BCTC năm 2022 đã được kiểm toán quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,10/24/2022,10/24/2022,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,10/07/2022,10/07/2022,Tổ chức niêm yết chậm nộp BCTC soát xét bán niên năm 2022 quá 45 ngày so với thời hạn quy định.,CS,VN,2023-06-01 09:20:39
AMD,VN000000AMD3,BBG007GTX408,Công ty Cổ phần Đầu tư và Khoáng sản FLC Stone,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
GAB,VN000000GAB9,BBG00PNKPT85,Công ty Cổ phần Đầu tư Khai khoáng & Quản lý Tài sản FLC,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TTB,VN000000TTB2,BBG007YXYQQ1,Công ty Cổ phần Tập đoàn Tiến Bộ,05/12/2023,05/15/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
ABS,VN000000ABS4,BBG00R8768Y5,Công ty Cổ phần Dịch vụ Nông nghiệp Bình Thuận,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
AGM,VN000000AGM6,BBG003NWY9K8,Công ty Cổ phần Xuất Nhập Khẩu An Giang,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HPX,VN000000HPX9,BBG00LC37SN9,Công ty Cổ phần Đầu tư Hải Phát,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HVN,VN000000HVN8,BBG000FWLXH8,Tổng Công ty Hàng không Việt Nam - CTCP,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
LDG,VN000000LDG2,BBG009RRQXY3,Công ty Cổ phần Đầu tư LDG,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TGG,VN000000TGG8,BBG00KXBGZ72,Công ty Cổ phần The Golden Group,05/12/2023,05/12/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
IBC,VN000000IBC1,BBG00F0Z7590,Công ty Cổ phần Đầu tư Apax Holdings,05/11/2023,05/11/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
TVB,VN000000TVB8,BBG009DCDKK8,Công ty Cổ phần Chứng khoán Trí Việt,05/11/2023,05/11/2023,Tổ chức niêm yết chậm nộp báo cáo tài chính kiểm toán năm 2022 quá 30 ngày so với thời hạn quy định.,D,VN,2023-06-01 09:20:39
HBC,VN000000HBC3,BBG000QMWDZ0,Công ty Cổ phần Tập đoàn Xây dựng Hòa Bình,04/17/2023,04/17/2023,Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính năm đã được kiểm toán trong 02 năm liên tiếp.,D,VN,2023-06-01 09:20:39
POM,VN000000POM8,BBG000QR9N83,Công ty Cổ phần Thép POMINA,04/17/2023,04/17/2023,Tổ chức niêm yết vi phạm chậm nộp báo cáo tài chính năm đã được kiểm toán trong 02 năm liên tiếp.,D,VN,2023-06-01 09:20:39
QBS,VN000000QBS0,BBG007H4BS94,Công ty Cổ phần Xuất Nhập khẩu Quảng Bình,04/23/2021,04/14/2023,"Lợi nhuận sau thuế của cổ đông Công ty mẹ là -138,7 tỷ đồng. Lợi nhuận sau thuế chưa phân phối đến ngày 31/12/2022 là -220,2 tỷ đồng căn cứ báo cáo tài chính hợp nhất kiểm toán năm 2022.",D,VN,2023-06-01 09:20:39
HNG,VN000000HNG9,BBG009L960Q2,Công ty Cổ phần Nông nghiệp Quốc tế Hoàng Anh Gia Lai,04/12/2023,04/12/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2021 là -1.119,43 tỷ đồng. Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là -3.576,45 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2021 và năm 2022.",D,VN,2023-06-01 09:20:39
NVT,VN000000NVT3,BBG000QTW822,Công ty Cổ phần Bất động sản Du lịch Ninh Vân Bay,04/12/2023,04/12/2023,"Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2021 là -49,964 tỷ đồng. Lợi nhuận sau thuế của cổ đông công ty mẹ năm 2022 là -12,904 tỷ đồng căn cứ Báo cáo tài chính hợp nhất kiểm toán năm 2021 và năm 2022.",D,VN,2023-06-01 09:20:39
